Types,kg CO2 kg⁻1,Types faostat
Wines,"2,41",Wine
Spirits and liqueurs,"3,16","Beverages, Alcoholic"
Spirits and liqueurs,"3,16",Alcoholic Beverages
Beer and cider,"1,35",Beer
Soft drinks,"0,9",
Juice,"1,61",
Water,"0,58",
Apples and pears,"0,66",Apples and products
Citrus,"0,9","Citrus, Other"
Bananas,"0,6",Bananas
Berries,"3,42",
Stone fruit & grapes,"1,8",Grapes and products (excl wine)
Melons,"1,21",
Exotic fruit,"2,9",
"Dried fruit and vegetables, nuts and seeds","4,26",Vegetables
Frozen Fruit,"2,77",
Prepared fruit,"2,46",Fruits - Excluding Wine
Tinned fruit,"1,58",
Potatoes,"0,52",Potatoes and products
Other roots,"0,6","Roots, Other"
Salad,"3,66",
Tomatoes,"4,2",Tomatoes and products
Other vegetables,"2,13","Vegetables, Other"
Mushrooms,"4,4",
Exotic vegetables,"8,10",
Frozen vegetables,"3,06",
Prepared vegetables,"2,73",
Tinned vegetables,"2,34",
Milk,"1,64",Milk - Excluding Butter
Cheese,"13,65",
Cream,"5,77",Cream
Yoghurt & fromage frais,"3,87",
Butter,"11,08","Butter, Ghee"
Margarine,"2,43",
Soya,"1,26",Soyabeans
Ice cream,"2,36",
Powdered milk,"11,65",
Eggs,"4,9",Eggs
Beef,"25,13",Bovine Meat
Lamb,"15,53",Mutton & Goat Meat
Poultry,"4,05",Poultry Meat
"Pork, bacon & sausages","10,29",
Processed & cooked meat,"13,61",Meat
Tinned meat,"12,5",
Fresh fish,"2,68","Fish, Seafood"
Tinned fish,"3,5",
Vegetarian (meat alternatives),"4,81",
Frozen meat and fish,"12,2",
Other meat and fish,"9,62",Freshwater Fish
Other meat and fish,"9,62",Demersal Fish
Other meat and fish,"9,62",Pelagic Fish
Other meat and fish,"9,62","Marine Fish, Other"
Other meat and fish,"9,62",Pigmeat
Other meat and fish,"9,62","Meat, Other"
Rice,"1,4",Rice (Milled Equivalent)
Pasta,"3,82",
Cereals,"0,43",Cereals - Excluding Beer
"Jam, Honey , marmalade","1,43",Honey
Beverages,"0,98","Beverages, Fermented"
Miscellaneous food,"2,47",Miscellaneous
